grain_id,phase_id,phase_name,phi1_deg,Phi_deg,phi2_deg,representation
0,0,SecondPhase,279.8736330454274,170.05202179351085,356.144991814209,Bunge_deg
1,0,SecondPhase,147.91888042467522,116.02743402807714,270.83735880215664,Bunge_deg
2,0,SecondPhase,6.90929118196332,89.56811831589677,221.6932159156925,Bunge_deg
3,0,SecondPhase,32.75799574340226,63.903720829205085,323.2923955844452,Bunge_deg
4,0,SecondPhase,83.03942562787738,128.37232733133246,71.50456017065635,Bunge_deg
5,0,SecondPhase,158.38064168956566,170.79797310611957,211.47704379551658,Bunge_deg
6,0,SecondPhase,36.21934726140922,139.38144566285206,355.9138220196842,Bunge_deg
7,0,SecondPhase,149.83851772800907,102.19926557244396,17.666231663115436,Bunge_deg
8,0,SecondPhase,316.19712280828605,11.810090945608255,85.61056356172203,Bunge_deg
9,0,SecondPhase,116.64762546928347,137.9084223278364,110.62338138816195,Bunge_deg
10,0,SecondPhase,13.43592920607561,4.2282249846646,240.69057431980568,Bunge_deg
11,0,SecondPhase,137.78036064139638,111.46977107193065,344.021517426532,Bunge_deg
12,0,SecondPhase,151.1835440135571,166.9788419203654,134.3725474759837,Bunge_deg
13,0,SecondPhase,82.26849023170149,1.5567417110758597,314.6894691200742,Bunge_deg
14,0,SecondPhase,289.8425496580981,12.890772291228242,318.6114100943498,Bunge_deg
15,0,SecondPhase,283.6238392323212,68.3873377304852,76.3817689266501,Bunge_deg
16,0,SecondPhase,98.94414503184137,99.2638752412047,104.10997221916443,Bunge_deg
17,0,SecondPhase,59.145969301346724,28.590896504479602,52.588535134921045,Bunge_deg
18,0,SecondPhase,46.09507613981947,78.62689447548507,230.74683557839958,Bunge_deg
19,0,SecondPhase,238.40730341114727,161.5158158207767,273.30845494497396,Bunge_deg
20,0,SecondPhase,204.6951796173151,144.9339131215462,324.84988810023873,Bunge_deg
21,0,SecondPhase,230.426855019568,167.97179611155588,51.40478150791413,Bunge_deg
22,0,SecondPhase,335.6855637828895,32.14861245784535,7.524501273815307,Bunge_deg
23,0,SecondPhase,54.10758537970534,2.851704656855818,31.838197203949754,Bunge_deg
24,0,SecondPhase,148.85790996592965,136.49770183580182,300.28199333977886,Bunge_deg
25,0,SecondPhase,166.51319228211364,74.326054109027,160.18584225753372,Bunge_deg
26,0,SecondPhase,279.8699560278196,105.2876145164218,151.7094300346359,Bunge_deg
27,0,SecondPhase,221.71762181137586,109.3774787891493,340.9489168849359,Bunge_deg
28,0,SecondPhase,125.51051935033564,25.909734114792226,226.67026169014474,Bunge_deg
29,0,SecondPhase,301.97497616256163,21.27670707788078,129.5495966338702,Bunge_deg
30,0,SecondPhase,107.72161131637287,79.82929242858329,202.0047821321527,Bunge_deg
31,0,SecondPhase,61.17657110158108,48.83410853693616,23.97867312747473,Bunge_deg
32,0,SecondPhase,235.6049077250308,140.8835095330037,348.97731960341,Bunge_deg
33,0,SecondPhase,109.81358426975588,96.47123159398613,7.829942237137164,Bunge_deg
34,0,SecondPhase,28.383601627647593,35.73583854036712,84.29288629564729,Bunge_deg
35,0,SecondPhase,333.10593232683607,147.7867835106552,195.5308840929834,Bunge_deg
36,0,SecondPhase,15.056866056868333,98.52871909467643,132.05925334175845,Bunge_deg
37,0,SecondPhase,325.40073955339676,32.918720863313304,196.84884470949262,Bunge_deg
38,0,SecondPhase,246.1421052048855,67.64078135660202,233.1843547602662,Bunge_deg
39,0,SecondPhase,296.05321729459774,148.51205884422086,257.3835681672196,Bunge_deg
40,0,SecondPhase,52.16881215443306,151.44041102186694,30.263804428516377,Bunge_deg
41,0,SecondPhase,29.340532668062945,95.41339023662256,291.94190510886784,Bunge_deg
42,0,SecondPhase,98.63478570205223,0.8103725872201872,22.257186237804625,Bunge_deg
43,0,SecondPhase,206.27029485310004,65.87208167392613,350.2125408190652,Bunge_deg
44,0,SecondPhase,267.2692748322169,75.79546487994922,210.64567255956118,Bunge_deg
45,0,SecondPhase,176.82953895087317,173.5432134299753,356.1858479839161,Bunge_deg
46,0,SecondPhase,43.0899285596496,88.92252625455707,215.80988771654626,Bunge_deg
47,0,SecondPhase,121.4164333109286,38.6258376474821,328.4180472011362,Bunge_deg
48,0,SecondPhase,354.19423600058775,7.732800326931121,286.61293165825424,Bunge_deg
49,0,SecondPhase,287.83842706247776,92.42535504140983,136.80180055892995,Bunge_deg
50,0,SecondPhase,317.666758881945,11.81961942725498,50.29813585664499,Bunge_deg
51,0,SecondPhase,298.42790295921986,96.05691976901589,35.206931213938184,Bunge_deg
52,0,SecondPhase,79.74590128365139,130.07631630140443,8.462189536232948,Bunge_deg
53,0,SecondPhase,305.4058319210488,117.07887574171615,358.26315496490326,Bunge_deg
54,0,SecondPhase,305.304406588393,157.78550196490912,354.8320610940631,Bunge_deg
55,0,SecondPhase,273.0908294281785,42.60066357445375,226.11951652236613,Bunge_deg
56,0,SecondPhase,317.1983044559125,0.647906179688349,71.73349765460244,Bunge_deg
57,0,SecondPhase,37.12834658169325,2.8561637580958688,277.9680092850969,Bunge_deg
58,0,SecondPhase,143.05764157690015,59.22203258153695,175.9360962629565,Bunge_deg
59,0,SecondPhase,320.16872659818625,111.00784326377777,172.68211322870638,Bunge_deg
60,0,SecondPhase,316.348149407955,115.63367487793755,316.7732673170723,Bunge_deg
61,0,SecondPhase,190.02942903071963,54.51465458965872,31.25179555126256,Bunge_deg
62,0,SecondPhase,258.9240928184036,65.81261276194493,179.85832137385188,Bunge_deg
63,0,SecondPhase,123.20939454832835,28.829507843904324,79.19351522808665,Bunge_deg
64,0,SecondPhase,3.789805331214837,97.61999851811427,0.05784763401738946,Bunge_deg
65,0,SecondPhase,164.41719912594965,48.30874126591804,356.56887620499487,Bunge_deg
66,0,SecondPhase,204.90255807217062,138.26734539941955,242.965753955197,Bunge_deg
67,0,SecondPhase,179.6537905609835,100.59784437586923,146.33143823389887,Bunge_deg
68,0,SecondPhase,97.12282087386646,82.39402213015335,81.33900323007582,Bunge_deg
69,0,SecondPhase,275.4792202793913,138.00914021923637,285.3632815228973,Bunge_deg
70,0,SecondPhase,54.091116272837006,167.68197278758336,328.77122200958814,Bunge_deg
71,0,SecondPhase,0.3738860552608081,29.060274594051926,122.98335092742298,Bunge_deg
72,0,SecondPhase,15.786547198858445,81.24055571488836,116.78543800824025,Bunge_deg
73,0,SecondPhase,274.16727749189783,53.17622161136748,132.08239419106687,Bunge_deg
74,0,SecondPhase,120.43848251328545,150.19901898216108,69.12136370352397,Bunge_deg
75,0,SecondPhase,156.55325654280162,122.92514867640216,49.403341233706556,Bunge_deg
76,0,SecondPhase,283.3678293226586,78.13904479776443,252.43031006371106,Bunge_deg
77,0,SecondPhase,190.67193086754753,74.55003378671509,273.0799265665729,Bunge_deg
78,0,SecondPhase,292.5429796887308,130.97654282753587,249.66405739700127,Bunge_deg
79,0,SecondPhase,235.6021040016438,164.0603993818659,299.62434615034687,Bunge_deg
80,0,SecondPhase,348.2832468885877,155.36123624499524,344.9013593614513,Bunge_deg
81,0,SecondPhase,207.1296666738883,177.94409132634854,200.11409164733436,Bunge_deg
82,0,SecondPhase,86.76756949549296,61.465514565772764,162.78811179796347,Bunge_deg
83,0,SecondPhase,110.98092315031008,49.20178558090597,237.41389124521706,Bunge_deg
84,0,SecondPhase,316.3020360015816,147.9749228224509,176.0270713300551,Bunge_deg
85,0,SecondPhase,89.82580383456056,5.678865173140977,144.52589664788323,Bunge_deg
86,0,SecondPhase,264.3342848360188,67.10209982490196,248.1834605431439,Bunge_deg
87,0,SecondPhase,60.429493191644205,174.17368964371227,172.95311774066408,Bunge_deg
88,0,SecondPhase,105.06332374518934,149.30192654889242,52.070488862769096,Bunge_deg
89,0,SecondPhase,102.59075625062671,147.01925677685705,333.7358813055605,Bunge_deg
90,0,SecondPhase,22.574459318862232,126.14192151876145,98.41524657176618,Bunge_deg
91,0,SecondPhase,91.66725693514773,85.78559154411711,57.339731960591955,Bunge_deg
92,0,SecondPhase,158.1399121347273,21.230024984593747,119.71789577563267,Bunge_deg
93,0,SecondPhase,0.8887083600444834,147.20240474359488,57.93747695533305,Bunge_deg
94,0,SecondPhase,10.767396350354371,78.51403057318801,44.09384636335597,Bunge_deg
95,0,SecondPhase,334.794327885883,2.2040246939487362,21.48383008961162,Bunge_deg
96,0,SecondPhase,137.21815156467588,54.8840378178423,267.45624426374644,Bunge_deg
97,0,SecondPhase,173.6464344510439,16.80577332318441,194.57276356043587,Bunge_deg
98,0,SecondPhase,308.7648196616425,51.906852399634836,106.16078092362972,Bunge_deg
99,0,SecondPhase,75.90738867810438,53.74803221591881,125.49394177259035,Bunge_deg
100,0,SecondPhase,180.80319603197233,45.08041853221477,257.1776235532055,Bunge_deg
101,0,SecondPhase,344.03744211154526,60.797444328433855,100.80448318141363,Bunge_deg
102,0,SecondPhase,217.4183289305534,138.5032268772025,349.1283099861574,Bunge_deg
103,0,SecondPhase,336.2915367051418,86.95697090575224,61.09610805890396,Bunge_deg
104,0,SecondPhase,115.32331552872238,44.651436631013375,25.638742574210497,Bunge_deg
105,0,SecondPhase,88.58189649995961,13.552437723207014,80.79724223984216,Bunge_deg
